date,asset,ticker,close
2021-05-11,D05_SI,D05.SI,20.239973068237305
2021-05-12,D05_SI,D05.SI,20.28122329711914
2021-05-14,D05_SI,D05.SI,20.1368465423584
2021-05-17,D05_SI,D05.SI,20.074970245361328
2021-05-18,D05_SI,D05.SI,20.4599666595459
2021-05-19,D05_SI,D05.SI,20.17809295654297
2021-05-20,D05_SI,D05.SI,20.36372184753418
2021-05-21,D05_SI,D05.SI,20.50809669494629
2021-05-24,D05_SI,D05.SI,20.466846466064453
2021-05-25,D05_SI,D05.SI,20.60434341430664
2021-05-27,D05_SI,D05.SI,20.66621971130371
2021-05-28,D05_SI,D05.SI,20.906843185424805
2021-05-31,D05_SI,D05.SI,20.64559555053711
2021-06-01,D05_SI,D05.SI,20.865596771240234
2021-06-02,D05_SI,D05.SI,20.56997299194336
2021-06-03,D05_SI,D05.SI,20.501220703125
2021-06-04,D05_SI,D05.SI,20.425596237182617
2021-06-07,D05_SI,D05.SI,20.858720779418945
2021-06-08,D05_SI,D05.SI,20.64559555053711
2021-06-09,D05_SI,D05.SI,20.43246841430664
2021-06-10,D05_SI,D05.SI,20.54934310913086
2021-06-11,D05_SI,D05.SI,20.439348220825195
2021-06-14,D05_SI,D05.SI,20.391223907470703
2021-06-15,D05_SI,D05.SI,20.673095703125
2021-06-16,D05_SI,D05.SI,20.56997299194336
2021-06-17,D05_SI,D05.SI,20.55622100830078
2021-06-18,D05_SI,D05.SI,20.466846466064453
2021-06-21,D05_SI,D05.SI,20.370595932006836
2021-06-22,D05_SI,D05.SI,20.21247100830078
2021-06-23,D05_SI,D05.SI,20.16434669494629
2021-06-24,D05_SI,D05.SI,20.28122329711914
2021-06-25,D05_SI,D05.SI,20.29496955871582
2021-06-28,D05_SI,D05.SI,20.3499698638916
2021-06-29,D05_SI,D05.SI,20.061222076416016
2021-06-30,D05_SI,D05.SI,20.49434471130371
2021-07-01,D05_SI,D05.SI,20.631847381591797
2021-07-02,D05_SI,D05.SI,20.679967880249023
2021-07-05,D05_SI,D05.SI,20.624971389770508
2021-07-06,D05_SI,D05.SI,21.22309684753418
2021-07-07,D05_SI,D05.SI,20.686843872070312
2021-07-08,D05_SI,D05.SI,20.3087215423584
2021-07-09,D05_SI,D05.SI,20.391223907470703
2021-07-12,D05_SI,D05.SI,20.583723068237305
2021-07-13,D05_SI,D05.SI,20.851844787597656
2021-07-14,D05_SI,D05.SI,20.63871955871582
2021-07-15,D05_SI,D05.SI,20.54246711730957
2021-07-16,D05_SI,D05.SI,20.707469940185547
2021-07-19,D05_SI,D05.SI,20.336217880249023
2021-07-21,D05_SI,D05.SI,20.40497589111328
2021-07-22,D05_SI,D05.SI,20.762470245361328
2021-07-23,D05_SI,D05.SI,20.76934814453125
2021-07-26,D05_SI,D05.SI,20.624971389770508
2021-07-27,D05_SI,D05.SI,20.55622100830078
2021-07-28,D05_SI,D05.SI,20.673095703125
2021-07-29,D05_SI,D05.SI,20.968719482421875
2021-07-30,D05_SI,D05.SI,20.906843185424805
2021-08-02,D05_SI,D05.SI,20.872474670410156
2021-08-03,D05_SI,D05.SI,20.76934814453125
2021-08-04,D05_SI,D05.SI,21.02372169494629
